Model,Test Accuracy (%),Test Loss,AUC,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Weighted),Recall (Weighted),F1-Score (Weighted)
VGG19_finetuned,99.17460083961487,0.029936350882053375,0.9992702983614575,0.9916221392011912,0.9916880655416973,0.9916549991191388,0.9917467871883783,0.9917460317460317,0.9917463084409462
VGG16_finetuned,99.09523725509644,0.029606705531477928,0.9996623053721366,0.990249570864453,0.9915749572022499,0.9908647597511948,0.9910576800247884,0.9909523809523809,0.9909584874542463
WildfireNet,98.84126984126983,0.0,0.9991234613189859,0.9879423612604115,0.9886708241623869,0.9882930125321786,0.9884479353980489,0.9884126984126984,0.9884170198809118
ResNet50V2_finetuned,98.3650803565979,0.04793171212077141,0.9984618284829218,0.9833027331242588,0.9836543164587919,0.9834754304556144,0.9836627957379155,0.9836507936507937,0.9836537659083392
ResNet50V2,97.23809361457825,0.07567097991704941,0.9966071574142007,0.972044793862729,0.9721080948887258,0.9720763432063491,0.9723830021280148,0.9723809523809523,0.9723818782447049
FireNet,95.50793766975403,0.13944055140018463,0.9896951169805168,0.9539663598857505,0.955505624847151,0.9546612467330681,0.9553019661180879,0.9550793650793651,0.9551173758381194
VGG16,95.41270136833191,0.13047970831394196,0.98829838183745,0.9549964485676846,0.9522896796282709,0.9534869806847707,0.9542949246913247,0.9541269841269842,0.9540585669795756
VGG19,94.20635104179382,0.15365223586559296,0.9855609562240156,0.9428907872106087,0.9399578136463683,0.9412373369911079,0.9422360932092934,0.942063492063492,0.9419672731996402
ResNet50,88.0476176738739,0.30131620168685913,0.940270950517649,0.8797996127181786,0.8781578625580826,0.8788988518353146,0.8803735732841014,0.8804761904761905,0.8803467565682466
EfficientNetB0,86.98412775993347,0.6143945455551147,0.8991952494497433,0.8763542479349478,0.862377720714111,0.8663516504872655,0.8732302904190848,0.8698412698412699,0.8686140756087221
MobileNetV3Large,85.82539558410645,0.3855777680873871,0.8966674818619058,0.8586172894641177,0.8541422108094889,0.8558654492093583,0.8583680254322064,0.8582539682539683,0.857809250158116
MobileNetV3Small,83.61904621124268,0.42972618341445923,0.8647220184234123,0.8360763828821818,0.8317834433846907,0.8334093653782353,0.8361541737742006,0.8361904761904762,0.8356643200908631
