============================================================
WildfireNet - Custom CNN for Wildfire Detection
============================================================

Configuration:
  data_dir: ./wildfire-prediction-dataset
  output_dir: ./CustomCNNOutput
  input_size: 128
  batch_size: 16
  workers: 2
  seed: 42
  epochs: 30
  lr: 0.001
  weight_decay: 0.0001
  dropout: 0.4
  num_classes: 2

Device: cpu
CPU threads: 4

Dataset sizes:
  Train: 30250
  Valid: 6300
  Test:  6300
  Classes: ['nowildfire', 'wildfire']

==================================================
WildfireNet - Custom CNN Architecture
==================================================
Trainable parameters: 5,081,765
Input size: 128x128

Starting training for 30 epochs...
==================================================

Epoch 1/30 (lr=0.000040)
  Batch 1/1891 - Loss: 0.6747
  Batch 11/1891 - Loss: 0.6884
  Batch 21/1891 - Loss: 0.6635
  Batch 31/1891 - Loss: 0.6266
  Batch 41/1891 - Loss: 0.5763
  Batch 51/1891 - Loss: 0.5823
  Batch 61/1891 - Loss: 0.4109
  Batch 71/1891 - Loss: 0.4292
  Batch 81/1891 - Loss: 0.4636
  Batch 91/1891 - Loss: 0.6027
  Batch 101/1891 - Loss: 0.6387
  Batch 111/1891 - Loss: 0.5134
  Batch 121/1891 - Loss: 0.3761
  Batch 131/1891 - Loss: 0.4506
  Batch 141/1891 - Loss: 0.4039
  Batch 151/1891 - Loss: 0.3881
  Batch 161/1891 - Loss: 0.3318
  Batch 171/1891 - Loss: 0.8472
  Batch 181/1891 - Loss: 0.5416
  Batch 191/1891 - Loss: 0.5619
  Batch 201/1891 - Loss: 0.2706
  Batch 211/1891 - Loss: 0.6360
  Batch 221/1891 - Loss: 0.2401
  Batch 231/1891 - Loss: 0.5860
  Batch 241/1891 - Loss: 0.2661
  Batch 251/1891 - Loss: 0.4457
  Batch 261/1891 - Loss: 0.4041
  Batch 271/1891 - Loss: 0.4911
  Batch 281/1891 - Loss: 0.2765
  Batch 291/1891 - Loss: 0.2402
  Batch 301/1891 - Loss: 0.2121
  Batch 311/1891 - Loss: 0.1515
  Batch 321/1891 - Loss: 0.2445
  Batch 331/1891 - Loss: 0.4490
  Batch 341/1891 - Loss: 0.5147
  Batch 351/1891 - Loss: 0.2269
  Batch 361/1891 - Loss: 0.4345
  Batch 371/1891 - Loss: 0.2746
  Batch 381/1891 - Loss: 0.2631
  Batch 391/1891 - Loss: 0.2633
  Batch 401/1891 - Loss: 0.3928
  Batch 411/1891 - Loss: 0.2634
  Batch 421/1891 - Loss: 0.1539
  Batch 431/1891 - Loss: 0.3985
  Batch 441/1891 - Loss: 0.3404
  Batch 451/1891 - Loss: 0.3897
  Batch 461/1891 - Loss: 0.3097
  Batch 471/1891 - Loss: 0.8512
  Batch 481/1891 - Loss: 0.2134
  Batch 491/1891 - Loss: 0.4547
  Batch 501/1891 - Loss: 0.3444
  Batch 511/1891 - Loss: 0.3405
  Batch 521/1891 - Loss: 0.2869
  Batch 531/1891 - Loss: 0.4107
  Batch 541/1891 - Loss: 0.3334
  Batch 551/1891 - Loss: 0.3812
  Batch 561/1891 - Loss: 0.1484
  Batch 571/1891 - Loss: 0.3149
  Batch 581/1891 - Loss: 0.1701
  Batch 591/1891 - Loss: 0.2561
  Batch 601/1891 - Loss: 0.2174
  Batch 611/1891 - Loss: 0.7027
  Batch 621/1891 - Loss: 0.0873
  Batch 631/1891 - Loss: 0.1513
  Batch 641/1891 - Loss: 0.5699
  Batch 651/1891 - Loss: 0.1534
  Batch 661/1891 - Loss: 0.2420
  Batch 671/1891 - Loss: 0.1939
  Batch 681/1891 - Loss: 0.4032
  Batch 691/1891 - Loss: 0.3810
  Batch 701/1891 - Loss: 0.2785
